CCC mm,Edep,x,BIC_HP_3,LET,,,,,
1.411356,0.2141972,0,0.201551705,3.40447855,2.52846694,,,,
1.586052,0.2147135,0.1,0.202628221,2.231854916,1.794318795,,,,
1.760748,0.2146114,0.2,0.206057322,2.256925344,1.865736604,,,,
1.935444,0.2163549,0.3,0.204053322,2.176493406,1.88544023,,,,
2.11014,0.2166949,0.4,0.204123586,2.152812004,1.809572577,,,,
2.284836,0.2166104,0.5,0.204887764,2.188648939,1.854172826,,,,
2.459532,0.2175189,0.6,0.204600637,2.224080086,1.868016243,,,,
2.634228,0.2172512,0.7,0.203924173,2.204229116,1.86706996,,,,
2.808924,0.2184293,0.8,0.205399876,2.279735088,1.836358547,,,,
2.98362,0.2185316,0.9,0.205073064,2.208781719,1.83043468,,,,
3.158316,0.2191846,1,0.206516319,2.176953077,1.824945092,,,,
3.333012,0.2194325,1.1,0.206132652,2.158543587,1.841120362,,,,
3.507708,0.2195904,1.2,0.205927891,2.315895796,1.894197345,,,,
3.682404,0.219371,1.3,0.207251748,2.217218637,1.858902931,,,,
3.8571,0.2193568,1.4,0.20656682,2.254256487,1.832944155,,,,
4.031796,0.219943,1.5,0.208129675,2.225474596,1.916608334,,,,
4.206492,0.2198938,1.6,0.209917656,2.25287509,1.950629234,,,,
4.381188,0.2202279,1.7,0.208972903,2.336283445,1.95084548,,,,
4.555884,0.2207511,1.8,0.208180157,2.267031908,1.907933831,,,,
4.73058,0.2203196,1.9,0.20888943,2.27118516,1.890389442,,,,
4.905276,0.2213127,2,0.208986372,2.334326982,1.92675364,,,,
5.079972,0.222406,2.1,0.210934543,2.206206322,1.915378809,,,,
5.254668,0.2217453,2.2,0.20814797,2.230387926,1.874309063,,,,
5.429364,0.222347,2.3,0.208461976,2.221312046,1.854802728,,,,
5.60406,0.2228704,2.4,0.210075493,2.158689499,1.870889544,,,,
5.778756,0.223166,2.5,0.210557088,2.170318604,1.860962033,,,,
5.953452,0.2230147,2.6,0.21092441,2.181787729,1.920579314,,,,
6.128148,0.2244241,2.7,0.212946102,2.173706055,1.953999281,,,,
6.302844,0.2242112,2.8,0.213238194,2.222221136,1.903367996,,,,
6.47754,0.224936,2.9,0.211962286,2.270149469,1.924631119,,,,
6.652236,0.2262851,3,0.210824131,2.209805727,1.912687182,,,,
6.826932,0.2264458,3.1,0.212324904,2.267034292,1.893571734,,,,
7.001628,0.2260497,3.2,0.211908688,2.207742214,1.872564793,,,,
7.176324,0.2278511,3.3,0.213328723,2.297469616,1.931244135,,,,
7.35102,0.2283682,3.4,0.212848798,2.326156139,1.897172093,,,,
7.525716,0.2284183,3.5,0.213038862,2.264085293,1.932138205,,,,
7.700412,0.2288453,3.6,0.213032167,2.301331758,1.948747396,,,,
7.875108,0.229905,3.7,0.214213245,2.246134996,2.005928993,,,,
8.049804,0.2292146,3.8,0.214471241,2.279292822,1.994284034,,,,
